tuple, count, support
{'tropical fruit', 'waffles'}, 60, 0.006100660904931368
{'napkins', 'hygiene articles'}, 60, 0.006100660904931368
{'chocolate', 'pip fruit'}, 60, 0.006100660904931368
{'coffee', 'whipped/sour cream'}, 60, 0.006100660904931368
{'pork', 'pip fruit'}, 60, 0.006100660904931368
{'pasta', 'whole milk'}, 60, 0.006100660904931368
{'other vegetables', 'specialty chocolate'}, 60, 0.006100660904931368
{'bottled beer', 'margarine'}, 60, 0.006100660904931368
{'grapes', 'tropical fruit'}, 60, 0.006100660904931368
{'citrus fruit', 'bottled beer'}, 60, 0.006100660904931368
{'ice cream', 'soda'}, 60, 0.006100660904931368
{'fruit/vegetable juice', 'salty snack'}, 59, 0.005998983223182512
{'coffee', 'fruit/vegetable juice'}, 59, 0.005998983223182512
{'other vegetables', 'dishes'}, 59, 0.005998983223182512
{'yogurt', 'soft cheese'}, 59, 0.005998983223182512
{'salty snack', 'shopping bags'}, 59, 0.005998983223182512
{'napkins', 'domestic eggs'}, 59, 0.005998983223182512
{'domestic eggs', 'beef'}, 59, 0.005998983223182512
{'sausage', 'frozen vegetables'}, 59, 0.005998983223182512
{'dessert', 'fruit/vegetable juice'}, 59, 0.005998983223182512
{'rolls/buns', 'hygiene articles'}, 58, 0.005897305541433655
{'bottled water', 'cream cheese '}, 58, 0.005897305541433655
{'rolls/buns', 'hard cheese'}, 58, 0.005897305541433655
{'pastry', 'long life bakery product'}, 58, 0.005897305541433655
{'bottled water', 'onions'}, 58, 0.005897305541433655
{'sausage', 'dessert'}, 58, 0.005897305541433655
{'bottled beer', 'pip fruit'}, 58, 0.005897305541433655
{'pork', 'frankfurter'}, 58, 0.005897305541433655
{'whole milk', 'ice cream'}, 58, 0.005897305541433655
{'chocolate', 'bottled water'}, 57, 0.005795627859684799
{'newspapers', 'butter'}, 57, 0.005795627859684799
{'dessert', 'root vegetables'}, 57, 0.005795627859684799
{'whipped/sour cream', 'long life bakery product'}, 57, 0.005795627859684799
{'butter', 'chicken'}, 57, 0.005795627859684799
{'hamburger meat', 'soda'}, 57, 0.005795627859684799
{'chocolate', 'waffles'}, 57, 0.005795627859684799
{'domestic eggs', 'white bread'}, 57, 0.005795627859684799
{'bottled beer', 'butter'}, 57, 0.005795627859684799
{'butter', 'beef'}, 57, 0.005795627859684799
{'brown bread', 'butter'}, 57, 0.005795627859684799
{'butter', 'frozen vegetables'}, 57, 0.005795627859684799
{'chicken', 'pork'}, 57, 0.005795627859684799
{'bottled water', 'hygiene articles'}, 56, 0.0056939501779359435
{'citrus fruit', 'cream cheese '}, 56, 0.0056939501779359435
{'margarine', 'shopping bags'}, 56, 0.0056939501779359435
{'fruit/vegetable juice', 'cream cheese '}, 56, 0.0056939501779359435
{'onions', 'tropical fruit'}, 56, 0.0056939501779359435
{'curd', 'newspapers'}, 56, 0.0056939501779359435
{'salty snack', 'tropical fruit'}, 55, 0.005592272496187087
{'specialty bar', 'rolls/buns'}, 55, 0.005592272496187087
{'hard cheese', 'root vegetables'}, 55, 0.005592272496187087
{'sausage', 'beef'}, 55, 0.005592272496187087
{'citrus fruit', 'onions'}, 55, 0.005592272496187087
{'bottled beer', 'shopping bags'}, 55, 0.005592272496187087
{'sausage', 'cream cheese '}, 55, 0.005592272496187087
{'misc. beverages', 'other vegetables'}, 55, 0.005592272496187087
{'whole milk', 'cake bar'}, 55, 0.005592272496187087
{'sliced cheese', 'root vegetables'}, 55, 0.005592272496187087
{'cream cheese ', 'shopping bags'}, 55, 0.005592272496187087
{'specialty bar', 'other vegetables'}, 55, 0.005592272496187087
{'pastry', 'white bread'}, 55, 0.005592272496187087
{'brown bread', 'pork'}, 55, 0.005592272496187087
{'domestic eggs', 'pork'}, 55, 0.005592272496187087
{'rolls/buns', 'specialty chocolate'}, 55, 0.005592272496187087
{'beverages', 'yogurt'}, 54, 0.005490594814438231
{'candy', 'yogurt'}, 54, 0.005490594814438231
{'waffles', 'shopping bags'}, 54, 0.005490594814438231
{'whipped/sour cream', 'white bread'}, 54, 0.005490594814438231
{'frozen meals', 'tropical fruit'}, 54, 0.005490594814438231
{'sugar', 'margarine'}, 54, 0.005490594814438231
{'chocolate', 'newspapers'}, 54, 0.005490594814438231
{'meat', 'soda'}, 54, 0.005490594814438231
{'butter milk', 'tropical fruit'}, 54, 0.005490594814438231
{'butter', 'pork'}, 54, 0.005490594814438231
{'other vegetables', 'processed cheese'}, 54, 0.005490594814438231
{'candy', 'tropical fruit'}, 53, 0.005388917132689374
{'citrus fruit', 'berries'}, 53, 0.005388917132689374
{'bottled beer', 'frankfurter'}, 53, 0.005388917132689374
{'long life bakery product', 'shopping bags'}, 53, 0.005388917132689374
{'sausage', 'long life bakery product'}, 53, 0.005388917132689374
{'rolls/buns', 'soft cheese'}, 53, 0.005388917132689374
{'soda', 'chewing gum'}, 53, 0.005388917132689374
{'ham', 'tropical fruit'}, 53, 0.005388917132689374
{'curd', 'shopping bags'}, 53, 0.005388917132689374
{'beverages', 'rolls/buns'}, 53, 0.005388917132689374
{'root vegetables', 'hygiene articles'}, 53, 0.005388917132689374
{'yogurt', 'canned beer'}, 53, 0.005388917132689374
{'pastry', 'dessert'}, 53, 0.005388917132689374
{'whole milk', 'dishes'}, 52, 0.0052872394509405184
{'long life bakery product', 'root vegetables'}, 52, 0.0052872394509405184
{'processed cheese', 'soda'}, 52, 0.0052872394509405184
{'citrus fruit', 'hygiene articles'}, 52, 0.0052872394509405184
{'fruit/vegetable juice', 'frankfurter'}, 52, 0.0052872394509405184
{'sliced cheese', 'tropical fruit'}, 52, 0.0052872394509405184
{'sausage', 'salty snack'}, 52, 0.0052872394509405184
{'misc. beverages', 'bottled water'}, 52, 0.0052872394509405184
{'onions', 'soda'}, 52, 0.0052872394509405184
{'bottled water', 'chicken'}, 52, 0.0052872394509405184
{'yogurt', 'oil'}, 52, 0.0052872394509405184
{'sausage', 'chicken'}, 52, 0.0052872394509405184
{'sausage', 'meat'}, 52, 0.0052872394509405184
{'chocolate', 'long life bakery product'}, 52, 0.0052872394509405184
{'meat', 'yogurt'}, 52, 0.0052872394509405184
{'beverages', 'other vegetables'}, 51, 0.005185561769191663
{'pastry', 'sugar'}, 51, 0.005185561769191663
{'other vegetables', 'semi-finished bread'}, 51, 0.005185561769191663
{'domestic eggs', 'frozen vegetables'}, 51, 0.005185561769191663
{'bottled beer', 'napkins'}, 51, 0.005185561769191663
{'dessert', 'bottled water'}, 51, 0.005185561769191663
{'sausage', 'hard cheese'}, 51, 0.005185561769191663
{'curd', 'dessert'}, 51, 0.005185561769191663
{'bottled beer', 'brown bread'}, 51, 0.005185561769191663
{'frankfurter', 'white bread'}, 51, 0.005185561769191663
{'mustard', 'whole milk'}, 51, 0.005185561769191663
{'newspapers', 'chicken'}, 51, 0.005185561769191663
{'sausage', 'hamburger meat'}, 51, 0.005185561769191663
{'napkins', 'pork'}, 51, 0.005185561769191663
{'shopping bags', 'hygiene articles'}, 51, 0.005185561769191663
{'pastry', 'salty snack'}, 51, 0.005185561769191663
{'bottled beer', 'pork'}, 51, 0.005185561769191663
{'whipped/sour cream', 'salty snack'}, 51, 0.005185561769191663
{'rolls/buns', 'oil'}, 50, 0.005083884087442806
{'canned fish', 'other vegetables'}, 50, 0.005083884087442806
{'frozen vegetables', 'margarine'}, 50, 0.005083884087442806
{'whipped/sour cream', 'onions'}, 50, 0.005083884087442806
{'whipped/sour cream', 'waffles'}, 50, 0.005083884087442806
{'cream cheese ', 'domestic eggs'}, 50, 0.005083884087442806
{'frankfurter', 'frozen vegetables'}, 50, 0.005083884087442806
{'ham', 'white bread'}, 50, 0.005083884087442806
{'other vegetables', 'ice cream'}, 50, 0.005083884087442806
{'curd', 'cream cheese '}, 50, 0.005083884087442806
{'sliced cheese', 'soda'}, 50, 0.005083884087442806
{'meat', 'root vegetables'}, 50, 0.005083884087442806
{'butter milk', 'root vegetables'}, 50, 0.005083884087442806
{'butter milk', 'pip fruit'}, 50, 0.005083884087442806
{'fruit/vegetable juice', 'beef'}, 50, 0.005083884087442806
{'coffee', 'frankfurter'}, 50, 0.005083884087442806
{'whole milk', 'chewing gum'}, 50, 0.005083884087442806
